seed,sample_size,instruments,null_kind,positive_rate,model,roc_auc,pr_auc,brier,log_loss,accuracy,balanced_accuracy,calibration_error,baseline_roc_auc,baseline_pr_auc,baseline_brier,baseline_log_loss,brier_improvement,log_loss_improvement
792,195,5,IID,0.5333333333333333,regularized_logistic,0.48753169907016064,0.5511339797059862,0.25036338089103227,0.6938739750835135,0.4666666666666667,0.5,0.03818384387849666,0.5,0.5333333333333333,0.24926075177014326,0.6916683467771984,-0.0011026291208890149,-0.0022056283063150994
793,195,5,IID,0.48205128205128206,regularized_logistic,0.4264798820307562,0.4370246756531718,0.2504740383724397,0.6940953417319607,0.48717948717948717,0.504950495049505,0.022770512801608984,0.5,0.48205128205128206,0.2505011042050862,0.6941495610302354,2.7065832646500088e-05,5.421929827464922e-05
794,195,5,IID,0.5025641025641026,regularized_logistic,0.509152114454029,0.5230629165528433,0.2499411523538577,0.6930293737439873,0.5282051282051282,0.5261413843888071,0.01262109605029876,0.5,0.5025641025641026,0.2502638358385917,0.693675280930105,0.0003226834847339932,0.0006459071861176779
795,195,5,IID,0.4564102564102564,regularized_logistic,0.48791604833580665,0.4269347033537063,0.2528568408232324,0.6988667592299113,0.4564102564102564,0.5,0.06838351096313505,0.5,0.4564102564102564,0.2533584121863611,0.6998724491379046,0.0005015713631287277,0.0010056899079933235
796,195,5,IID,0.49743589743589745,regularized_logistic,0.5574374079528718,0.544142829580852,0.25059668470903834,0.6943412701068918,0.49743589743589745,0.5,0.032603418468880596,0.5,0.49743589743589745,0.2504515069203273,0.6940513277069428,-0.00014517778871103726,-0.00028994239994906135
797,195,5,IID,0.4717948717948718,regularized_logistic,0.5372520050654285,0.5306326251366715,0.24987131400954002,0.6928896919184133,0.5282051282051282,0.5481743351625158,0.03224040700985139,0.5,0.4717948717948718,0.24936078697160585,0.6918684150875242,-0.0005105270379341664,-0.0010212768308891507
798,195,5,IID,0.5025641025641026,regularized_logistic,0.5332421628445192,0.5404282231342069,0.24950436365712778,0.6921558189493751,0.5230769230769231,0.5228802861350725,0.0114614772438026,0.5,0.5025641025641026,0.2499934325629292,0.6931340456285303,0.0004890689058014153,0.0009782266791552585
799,195,5,IID,0.5846153846153846,regularized_logistic,0.47509205111544295,0.5706453208639468,0.2539657985251325,0.701084381988875,0.4153846153846154,0.5,0.10455448795820199,0.5,0.5846153846153846,0.2532382718708789,0.6996264483265513,-0.0007275266542536296,-0.0014579336623237182
800,195,5,IID,0.517948717948718,regularized_logistic,0.5381293448493786,0.5515424276625868,0.2497373413930963,0.6926218253397358,0.5128205128205128,0.49504950495049505,0.013069451918596028,0.5,0.517948717948718,0.24982579654255094,0.6927987595902518,8.84551494546304e-05,0.0001769342505160143
801,195,5,IID,0.5333333333333333,regularized_logistic,0.511200338123415,0.5370133457078372,0.2528089760693693,0.6987725135132301,0.4666666666666667,0.5,0.0631445499023851,0.5,0.5333333333333333,0.2508316827174829,0.6948108198390613,-0.0019772933518864,-0.003961693674168765
